Quận,Loại hình nhà ở,Giấy tờ pháp lý,ViTriXa_km,TuoiNha,Số tầng,Số phòng ngủ,Diện tích_m2,Giá_m2
Quận Hà Đông,Chung cư,Đã có sổ,17.6,29,9,1,108,103.9
Quận Tây Hồ,Chung cư,Đã có sổ,18.2,39,24,2,101,116.2
Quận Hai Bà Trưng,Penthouse,Sổ hồng,7.9,15,36,5,52,143.3
Quận Đống Đa,Chung cư,Sổ hồng,5,37,34,1,42,130.3
Quận Cầu Giấy,Chung cư,Sổ hồng,4.2,27,11,1,74,145.3
Quận Cầu Giấy,Chung cư,Đã có sổ,17.7,16,35,2,40,110.9
Quận Cầu Giấy,Duplex,Sổ hồng,5,38,8,5,110,153.5
Quận Long Biên,Chung cư,Sổ hồng,10.9,18,26,1,96,117.5
Quận Đống Đa,Chung cư,Sổ hồng,7,6,17,4,122,146.4
Quận Hai Bà Trưng,Chung cư,Đã có sổ,10.2,17,15,1,43,130.1
Quận Cầu Giấy,Chung cư,Đã có sổ,7.2,37,16,2,128,147.2
Quận Tây Hồ,Duplex,Sổ hồng,6.2,25,16,4,149,162.4
Quận Long Biên,Penthouse,Sổ hồng,8.8,39,12,5,117,135.2
Quận Thanh Xuân,Chung cư,Sổ hồng,7,27,29,3,107,132.8
Quận Thanh Xuân,Chung cư,Sổ hồng,16.9,6,15,5,45,106.7
Quận Thanh Xuân,Duplex,Sổ hồng,11.8,38,14,2,149,123.1
Quận Thanh Xuân,Chung cư,Đã có sổ,3.9,25,31,5,125,153.6
Quận Đống Đa,Chung cư,Sổ hồng,5.1,34,14,4,125,144.3
Quận Hà Đông,Chung cư,Sổ hồng,1.5,7,33,5,63,145.9
Quận Thanh Xuân,Chung cư,Sổ hồng,6.3,3,25,1,135,145.6
Quận Đống Đa,Penthouse,Sổ hồng,13.6,16,33,4,41,128.4
Quận Cầu Giấy,Chung cư,Sổ hồng,4.1,20,21,3,49,149.2
Quận Thanh Xuân,Chung cư,Sổ hồng,2.4,26,34,4,144,152.1
Quận Hà Đông,Chung cư,Sổ hồng,6.8,38,3,4,133,126.7
Quận Hà Đông,Duplex,Sổ hồng,12.4,21,15,5,109,128.3
Quận Long Biên,Chung cư,Đã có sổ,9.7,22,37,5,121,133.6
Quận Thanh Xuân,Chung cư,Đã có sổ,7,2,11,3,38,141.5
Quận Hà Đông,Duplex,Sổ hồng,17.7,30,15,2,37,92
Quận Đống Đa,Chung cư,Sổ hồng,9.6,7,37,2,80,128.7
Quận Cầu Giấy,Chung cư,Sổ hồng,9.4,13,10,1,118,142.2
Quận Đống Đa,Chung cư,Sổ hồng,1.1,26,13,5,50,148.6
Quận Cầu Giấy,Chung cư,Sổ hồng,13,24,37,2,89,127.7
Quận Cầu Giấy,Penthouse,Sổ hồng,9.5,0,20,3,36,147.9
Quận Tây Hồ,Chung cư,Sổ hồng,3.3,35,16,5,50,144.2
